data_celltemp,data_cellpres,data_co2,data_co2abs,data_h2o,data_h2oabs,data_h2odewpoint,data_ivolt,data_raw_co2_co2ref,data_raw_co2_h2o_h2oref,data_raw_co2_h2o,data_datetimer,data
"5.14112e1","1.00269e2","4.67479e2","9.5331907e-2","2.38852e1","1.2990248e-1","2.03297e1","1.2528076e1","3797387","1925798","","2016-09-30T15:07:01.790647",""
"5.14112e1","1.00291e2","4.67350e2","9.5333929e-2","2.38788e1","1.2990522e-1","2.03290e1","1.2608642e1","3798509","1925998","","2016-09-30T15:07:07.779425",""
"5.14112e1","1.00269e2","4.67683e2","9.5362901e-2","2.40169e1","1.3037574e-1","2.04188e1","1.2521362e1","3797002","1925792","","2016-09-30T15:07:25.764548",""
"5.14112e1","1.00269e2","4.67697e2","9.5364923e-2","2.40185e1","1.3038134e-1","2.04199e1","1.2622070e1","3798604","1926243","","2016-09-30T15:07:31.768737",""
"5.14112e1","1.00269e2","4.67719e2","9.5368146e-2","2.40191e1","1.3038349e-1","2.04203e1","1.2622070e1","3798549","1926109","","2016-09-30T15:07:37.763125",""
"5.14112e1","1.00269e2","4.67712e2","9.5367069e-2","2.40204e1","1.3038825e-1","2.04212e1","1.2588500e1","3798482","1925968","","2016-09-30T15:17:43.856033",""
"5.14112e1","1.00225e2","4.67996e2","9.5366592e-2","2.40355e1","1.3039100e-1","2.04242e1","1.2588500e1","3798452","1926045","","2016-09-30T15:17:49.845344",""
"5.14112e1","1.00269e2","4.67716e2","9.5367670e-2","2.40221e1","1.3039433e-1","2.04223e1","1.2588500e1","3798389","1926125","","2016-09-30T15:17:55.847063",""
"5.14112e1","1.00269e2","4.67710e2","9.5366830e-2","2.40227e1","1.3039648e-1","2.04227e1","1.2588500e1","3798446","1925992","","2016-09-30T15:18:01.841617",""
"5.14112e1","1.00247e2","4.67872e2","9.5369453e-2","2.40313e1","1.3040137e-1","2.04249e1","1.2595214e1","3798395","1926053","","2016-09-30T15:18:07.828577",""
"5.14112e1","1.00269e2","4.67745e2","9.5371837e-2","2.40254e1","1.3040614e-1","2.04245e1","1.2595214e1","3798486","1926101","","2016-09-30T15:18:13.819541",""
"5.14112e1","1.00242e2","4.70965e2","9.5818395e-2","2.47769e1","1.3305044e-1","2.09200e1","1.2581787e1","3799444","1926095","","2016-09-30T15:18:31.812913",""
"5.14112e1","1.00220e2","4.71126e2","9.5820779e-2","2.47840e1","1.3304936e-1","2.09211e1","1.2601928e1","3798796","1926064","","2016-09-30T15:18:37.814143",""
"5.14112e1","1.00242e2","4.70961e2","9.5817804e-2","2.47767e1","1.3304984e-1","2.09199e1","1.2601928e1","3798527","1926106","","2016-09-30T15:18:43.808580",""
"5.14112e1","1.00242e2","4.70969e2","9.5818996e-2","2.47769e1","1.3305068e-1","2.09200e1","1.2608642e1","3798579","1926076","","2016-09-30T15:18:49.800029",""
"5.14112e1","1.00242e2","4.70994e2","9.5822572e-2","2.47775e1","1.3305270e-1","2.09204e1","1.2622070e1","3798840","1926145","","2016-09-30T15:18:55.791860",""
"5.14112e1","1.00242e2","4.71016e2","9.5825786e-2","2.47781e1","1.3305473e-1","2.09208e1","1.2622070e1","3798738","1926116","","2016-09-30T15:19:01.783647",""
"5.14112e1","1.00242e2","4.71024e2","9.5826864e-2","2.47784e1","1.3305580e-1","2.09210e1","1.2635498e1","3798932","1926049","","2016-09-30T15:19:07.784305",""
"5.14112e1","1.00242e2","4.71026e2","9.5827217e-2","2.47792e1","1.3305878e-1","2.09215e1","1.2554931e1","3799033","1926276","","2016-09-30T15:19:13.784690",""
"5.14112e1","1.00242e2","4.71029e2","9.5827693e-2","2.47790e1","1.3305795e-1","2.09214e1","1.2635498e1","3798941","1926210","","2016-09-30T15:22:50.224610",""
"5.14112e1","1.00242e2","4.71025e2","9.5827102e-2","2.47801e1","1.3306188e-1","2.09221e1","1.2635498e1","3798753","1926240","","2016-09-30T15:22:56.213786",""
"4.99891e1","1.00220e2","4.82886e2","9.7797985e-2","2.46016e1","1.3278722e-1","2.08010e1","1.2064819e1","3808430","1934776","","2016-09-30T15:29:15.041758",""
"5.00396e1","1.00220e2","4.82714e2","9.7762823e-2","2.46078e1","1.3279557e-1","2.08051e1","1.2071533e1","3808162","1934689","","2016-09-30T15:29:21.038524",""
"5.00396e1","1.00242e2","4.82291e2","9.7723836e-2","2.46028e1","1.3280415e-1","2.08054e1","1.2078247e1","3807780","1934644","","2016-09-30T15:29:27.026253",""
